id,text,cluster,category
814,Come And Get With Me - Keith Sweat Featuring Snoop Dogg,8,R&B and Soul Vibes
815,Thinkin’ Bout It - Gerald Levert,6,R&B and Soul Vibes
816,The Arms Of The One Who Loves You - Xscape,7,Emotional and Heartfelt Songs
817,"Make ‘EM Say Uhh! - Master P featuring Fiend, Silkk the Shocker, Mia X and Mystikal",2,Hip-Hop and Rap Anthems
818,I Got The Hook Up - Master P featuring Sons of Funk,8,Hip-Hop and Rap Anthems
819,Adia / Angel - Sarah McLachlan,1,Emotional and Heartfelt Songs
820,Are U Still Down / They Don’t Know - Jon B.,4,R&B and Soul Vibes
821,It’s All About Me - Mýa and Sisqo,3,Hip-Hop and Rap Anthems
822,How’s It Going To Be - Third Eye Blind,4,Alternative and Indie Playlist
823,We’re Not Making Love No More - Dru Hill,6,R&B and Soul Vibes
824,Have You Ever? - Brandy,1,R&B and Soul Vibes
825,Iris - Goo Goo Dolls,8,Pop and Rock Classics
826,All Night Long - Faith Evans featuring Puff Daddy,8,R&B and Soul Vibes
827,All Star - Smash Mouth,2,Nostalgic 90s Tunes
828,Believe - Cher,4,Dance and Electronic Hits
829,Fortunate - Maxwell,2,R&B and Soul Vibes
830,I Want It That Way - Backstreet Boys,6,Nostalgic 90s Tunes
831,No Scrubs - TLC,3,Hip-Hop and Rap Anthems
832,You - Jesse Powell,6,R&B and Soul Vibes
833,…BABY One More Time - Britney Spears,5,Nostalgic 90s Tunes
834,If You - Silk,4,R&B and Soul Vibes
835,Kiss Me - Sixpence None the Richer,9,Soft Rock and Ballads
836,Scar Tissue - Red Hot Chili Peppers,8,Pop and Rock Classics
837,Smooth - Santana featuring Rob Thomas,8,Pop and Rock Classics
838,Mambo No. 5 - Lou Bega,4,Dance and Electronic Hits
839,Slide - Goo Goo Dolls,8,Pop and Rock Classics
840,Genie In A Bottle - Christina Aguilera,1,Nostalgic 90s Tunes
841,Miami - Will Smith,0,Hip-Hop and Rap Anthems
842,Angel - Sarah McLachlan,1,Emotional and Heartfelt Songs
843,Ex-Factor - Lauryn Hill,1,R&B and Soul Vibes
844,Livin’ La Vida Loca - Ricky Martin,9,Pop and Rock Classics
845,Because Of You - 98 Degrees,4,Pop and Rock Classics
846,Fly Away - Lenny Kravitz,2,Pop and Rock Classics
847,Heartbreaker - Mariah Carey featuring Jay-Z,5,Pop and Rock Classics
848,I Don’t Want To Miss A Thing - Mark Chesnutt,0,Country Melodies
849,Hands - Jewel,1,Emotional and Heartfelt Songs
850,Every Morning - Sugar Ray,8,Alternative and Indie Playlist
851,Someday - Sugar Ray,8,Alternative and Indie Playlist
852,She’s So High - Tal Bachman,1,Emotional and Heartfelt Songs
853,What It’s Like - Everlast,9,Alternative and Indie Playlist
854,"Bills, Bills, Bills - Destiny’s Child",0,R&B and Soul Vibes
855,C’est La Vie - B*Witched,3,Pop and Rock Classics
856,Last Kiss - Pearl Jam,8,Pop and Rock Classics
857,Sometimes - Britney Spears,5,Pop and Rock Classics
858,Back At One - Brian McKnight,6,R&B and Soul Vibes
859,Happily Ever After - Case,3,Pop and Rock Classics
860,This Kiss - Faith Hill,5,Country Melodies
861,(YOU Drive Me) Crazy - Britney Spears,5,Pop and Rock Classics
862,Back That Azz Up - Juvenile featuring Mannie Fresh and Lil Wayne,8,Hip-Hop and Rap Anthems
863,If You Had My Love - Jennifer Lopez,5,Pop and Rock Classics
864,Jumper - Third Eye Blind,4,Alternative and Indie Playlist
865,My Love Is Your Love - Whitney Houston,5,R&B and Soul Vibes
866,Save Tonight - Eagle-Eye Cherry,6,Alternative and Indie Playlist
867,So Anxious - Ginuwine,8,R&B and Soul Vibes
868,Love Like This - Faith Evans,7,R&B and Soul Vibes
869,Get Gone - Ideal,6,R&B and Soul Vibes
870,Who Dat - JT Money featuring Solé,3,Hip-Hop and Rap Anthems
871,Can I Get A… - Jay-Z featuring Amil and Ja Rule,2,Hip-Hop and Rap Anthems
872,From This Moment On - Shania Twain,1,Country Melodies
873,Lost In You - Garth Brooks as Chris Gaines,6,Country Melodies
874,Steal My Sunshine - Len,6,Alternative and Indie Playlist
875,That Don’t Impress Me Much - Shania Twain,5,Pop and Rock Classics
876,Angel Of Mine - Monica,5,R&B and Soul Vibes
877,I Do (CHERISH You) - 98 Degrees,4,Soft Rock and Ballads
878,Trippin’ - Total featuring Missy Elliott,8,R&B and Soul Vibes
879,Bailamos - Enrique Iglesias,9,Dance and Electronic Hits
880,Black Balloon - Goo Goo Dolls,8,Alternative and Indie Playlist
881,Sweet Lady - Tyrese,1,R&B and Soul Vibes
882,Unpretty - TLC,3,R&B and Soul Vibes
883,Where My Girls At? - 702,4,R&B and Soul Vibes
884,Summer Girls - LFO,9,Nostalgic 90s Tunes
885,Anywhere - 112 featuring Lil Zane,8,R&B and Soul Vibes
886,Heartbreak Hotel - Whitney Houston featuring Faith Evans and Kelly Price,5,R&B and Soul Vibes
887,Lullaby - Shawn Mullins,8,Soft Rock and Ballads
888,Spend My Life With You - Eric Benét featuring Tamia,9,Emotional and Heartfelt Songs
889,Tell Me It’s Real - K-Ci & JoJo,3,R&B and Soul Vibes
890,Faded Pictures - Case featuring Joe,0,R&B and Soul Vibes
891,We Can’t Be Friends - Deborah Cox & R.L.,1,R&B and Soul Vibes
892,Back 2 Good - Matchbox 20,4,Soft Rock and Ballads
893,These Are The Times - Dru Hill,4,R&B and Soul Vibes
894,I Still Believe - Mariah Carey,5,Pop and Rock Classics
895,Lately - Divine,9,Nostalgic 90s Tunes
896,The Hardest Thing - 98 Degrees,4,Soft Rock and Ballads
897,808 - Blaque,3,R&B and Soul Vibes
898,Ghetto Cowboy - Mo Thugs,8,Hip-Hop and Rap Anthems
899,I Need To Know - Marc Anthony,3,Pop and Rock Classics
900,My Favorite Mistake - Sheryl Crow,1,Soft Rock and Ballads
901,(GOD Must Have Spent) A Little More Time On You - ‘N Sync,4,Nostalgic 90s Tunes
902,Satisfy You - Puff Daddy featuring R. Kelly,8,R&B and Soul Vibes
903,All I Have To Give - Backstreet Boys,6,Nostalgic 90s Tunes
904,Wild Wild West - Will Smith featuring Dru Hill and Kool Moe Dee,8,Hip-Hop and Rap Anthems
905,I Will Remember You - Sarah McLachlan,1,Emotional and Heartfelt Songs
906,Jamboree - Naughty by Nature featuring Zhané,8,Hip-Hop and Rap Anthems
907,Please Remember Me - Tim McGraw,6,Country Melodies
908,"Take Me There - Blackstreet featuring Mýa, Mase and Blinky Blink",8,Hip-Hop and Rap Anthems
909,Stay The Same - Joey McIntyre,0,Nostalgic 90s Tunes
910,Give It To You - Jordan Knight,6,Nostalgic 90s Tunes
911,She’s All I Ever Had - Ricky Martin,1,Emotional and Heartfelt Songs
912,Music Of My Heart - ‘N Sync and Gloria Estefan,5,Pop and Rock Classics
913,It’s Not Right But It’s Okay - Whitney Houston,5,Pop and Rock Classics
914,No Pigeons - Sporty Thievz Featuring Mr. Woods,2,Hip-Hop and Rap Anthems
915,I’m Your Angel - R. Kelly and Celine Dion,5,R&B and Soul Vibes
916,Taking Everything - Gerald Levert,6,R&B and Soul Vibes
917,What’s It Gonna Be?! - Busta Rhymes featuring Janet,8,Hip-Hop and Rap Anthems
918,Almost Doesn’t Count - Brandy,1,R&B and Soul Vibes
919,It Ain’t My Fault 1 & 2 - Silkk the Shocker Featuring Mystikal,8,Hip-Hop and Rap Anthems
